zip,Unknown,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+
60616,0.0,0.0,0.0,19.0,16.0,19.0,21.0,8.0,0.0
60069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60401,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
60046,0.0,0.0,0.0,6.0,0.0,10.0,0.0,0.0,0.0
60192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60610,0.0,0.0,25.0,12.0,12.0,9.0,12.0,0.0,0.0
60123,0.0,0.0,0.0,0.0,7.0,8.0,7.0,0.0,7.0
60478,0.0,0.0,6.0,7.0,12.0,11.0,17.0,14.0,0.0
60564,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0
62236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60624,0.0,0.0,17.0,18.0,37.0,32.0,22.0,11.0,11.0
60169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60418,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
60175,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
60438,0.0,0.0,0.0,10.0,17.0,14.0,11.0,0.0,8.0
60060,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0
60487,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
60083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
60607,0.0,0.0,11.0,19.0,8.0,10.0,10.0,0.0,0.0
60601,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0
60656,0.0,0.0,9.0,7.0,11.0,0.0,0.0,0.0,0.0
60630,0.0,0.0,8.0,13.0,20.0,15.0,12.0,8.0,0.0
60458,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
60301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60636,0.0,0.0,9.0,19.0,21.0,19.0,16.0,21.0,10.0
60501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60103,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0
60644,0.0,0.0,16.0,26.0,31.0,45.0,30.0,17.0,15.0
60544,0.0,0.0,0.0,7.0,7.0,8.0,0.0,0.0,0.0
60521,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
60189,0.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0
61114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60404,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
60143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60707,0.0,0.0,7.0,10.0,16.0,19.0,13.0,0.0,0.0
60043,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
60089,0.0,0.0,0.0,7.0,0.0,14.0,9.0,0.0,0.0
60527,0.0,0.0,0.0,6.0,7.0,7.0,14.0,16.0,34.0
60467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
60172,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
60561,0.0,0.0,0.0,6.0,0.0,0.0,6.0,8.0,0.0
62233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60613,0.0,0.0,20.0,24.0,12.0,17.0,20.0,7.0,7.0
60026,0.0,0.0,0.0,7.0,9.0,8.0,0.0,0.0,0.0
60126,0.0,0.0,0.0,0.0,12.0,0.0,7.0,0.0,0.0
60106,0.0,0.0,6.0,8.0,9.0,0.0,8.0,0.0,0.0
61102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60461,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
60510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60155,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0
60435,0.0,0.0,0.0,14.0,16.0,19.0,14.0,16.0,14.0
60484,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0
60653,0.0,0.0,7.0,17.0,21.0,24.0,21.0,13.0,0.0
60633,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
60455,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,8.0
60504,0.0,0.0,0.0,0.0,8.0,8.0,6.0,0.0,0.0
60490,0.0,0.0,6.0,0.0,10.0,15.0,7.0,0.0,0.0
60647,0.0,0.0,17.0,23.0,14.0,17.0,6.0,6.0,0.0
62568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0
60441,0.0,0.0,9.0,7.0,11.0,9.0,9.0,0.0,0.0
62711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60639,0.0,0.0,21.0,33.0,38.0,19.0,19.0,9.0,6.0
60044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
60453,0.0,0.0,12.0,10.0,10.0,16.0,17.0,7.0,16.0
60067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60430,0.0,0.0,0.0,0.0,10.0,14.0,0.0,15.0,0.0
60090,0.0,0.0,0.0,11.0,8.0,7.0,12.0,0.0,0.0
60622,0.0,0.0,23.0,39.0,10.0,17.0,6.0,0.0,9.0
60516,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
62234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60714,0.0,0.0,11.0,0.0,8.0,8.0,7.0,7.0,7.0
61704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60422,0.0,0.0,0.0,0.0,6.0,9.0,6.0,0.0,7.0
60173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60462,0.0,0.0,6.0,6.0,0.0,10.0,9.0,0.0,0.0
60628,0.0,0.0,15.0,25.0,39.0,49.0,32.0,51.0,16.0
60201,0.0,0.0,11.0,18.0,10.0,10.0,8.0,0.0,10.0
60130,0.0,0.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0
60081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60107,0.0,0.0,0.0,6.0,0.0,11.0,6.0,0.0,0.0
60436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60505,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
60087,0.0,0.0,8.0,10.0,15.0,7.0,8.0,0.0,0.0
61910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60064,0.0,6.0,8.0,0.0,0.0,16.0,8.0,0.0,0.0
60015,0.0,0.0,11.0,0.0,11.0,10.0,6.0,7.0,0.0
60605,0.0,0.0,0.0,21.0,0.0,0.0,7.0,0.0,0.0
61761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60007,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
60585,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
60193,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0
60542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60442,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
62265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60642,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
60101,0.0,0.0,8.0,10.0,6.0,9.0,6.0,0.0,8.0
60047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
60118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60473,0.0,0.0,0.0,6.0,6.0,19.0,29.0,14.0,0.0
60805,0.0,0.0,0.0,10.0,0.0,0.0,7.0,0.0,10.0
60402,0.0,0.0,15.0,13.0,29.0,23.0,15.0,14.0,0.0
62208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60164,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0
60187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61701,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
60124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60018,0.0,0.0,7.0,6.0,7.0,6.0,8.0,0.0,0.0
60659,0.0,0.0,16.0,18.0,24.0,24.0,24.0,11.0,11.0
60181,0.0,0.0,6.0,0.0,8.0,0.0,6.0,6.0,0.0
60525,0.0,0.0,0.0,0.0,8.0,0.0,8.0,6.0,0.0
60513,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
61853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60619,0.0,6.0,10.0,23.0,46.0,52.0,56.0,18.0,27.0
60465,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
60565,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
60419,0.0,0.0,9.0,13.0,8.0,19.0,16.0,8.0,0.0
60914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
60035,0.0,0.0,10.0,10.0,16.0,15.0,8.0,0.0,12.0
60651,0.0,0.0,14.0,27.0,31.0,28.0,22.0,26.0,7.0
60153,0.0,0.0,0.0,9.0,14.0,14.0,10.0,8.0,0.0
60084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60439,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0
62025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60631,0.0,0.0,8.0,6.0,14.0,14.0,6.0,6.0,0.0
60625,0.0,7.0,15.0,26.0,27.0,26.0,9.0,0.0,13.0
60459,0.0,0.0,0.0,6.0,6.0,7.0,8.0,6.0,0.0
60559,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
60608,0.0,0.0,23.0,29.0,35.0,35.0,19.0,14.0,0.0
60110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60061,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
60410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60433,0.0,0.0,6.0,7.0,6.0,0.0,7.0,0.0,0.0
60482,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
60041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60645,0.0,21.0,61.0,37.0,46.0,45.0,40.0,13.0,9.0
60502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60104,0.0,0.0,8.0,8.0,19.0,16.0,13.0,21.0,0.0
60098,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0
60004,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0
61802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60428,0.0,0.0,0.0,8.0,7.0,11.0,10.0,0.0,0.0
60451,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
62226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60188,0.0,0.0,7.0,0.0,6.0,0.0,7.0,8.0,13.0
60136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60706,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0
60514,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
60660,0.0,0.0,10.0,12.0,11.0,13.0,10.0,0.0,0.0
61201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60620,0.0,0.0,12.0,32.0,49.0,58.0,40.0,47.0,31.0
60614,0.0,0.0,35.0,19.0,15.0,16.0,10.0,11.0,7.0
60073,0.0,0.0,9.0,15.0,20.0,11.0,0.0,9.0,0.0
60534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60062,0.0,0.0,13.0,0.0,12.0,13.0,8.0,6.0,0.0
60560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60626,0.0,0.0,22.0,15.0,14.0,15.0,9.0,11.0,6.0
60411,0.0,0.0,11.0,19.0,29.0,35.0,24.0,27.0,9.0
60085,0.0,10.0,26.0,25.0,39.0,40.0,24.0,12.0,0.0
60013,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0
60434,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
61244,0.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0
60654,0.0,0.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0
60634,0.0,0.0,12.0,29.0,34.0,24.0,23.0,11.0,0.0
60646,0.0,0.0,9.0,8.0,8.0,15.0,0.0,0.0,0.0
60540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60491,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
60042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60056,0.0,0.0,6.0,15.0,7.0,10.0,0.0,0.0,0.0
60050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
62220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60448,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0
61081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60099,0.0,0.0,11.0,11.0,10.0,12.0,8.0,7.0,0.0
61822,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
60640,0.0,0.0,10.0,22.0,19.0,16.0,15.0,11.0,7.0
62206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60425,0.0,0.0,0.0,6.0,7.0,13.0,0.0,0.0,0.0
60093,0.0,0.0,14.0,8.0,17.0,19.0,6.0,0.0,0.0
60022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60139,0.0,0.0,6.0,8.0,7.0,8.0,0.0,0.0,0.0
60477,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0
60803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60431,0.0,0.0,0.0,11.0,13.0,0.0,0.0,0.0,0.0
60185,0.0,0.0,0.0,6.0,6.0,8.0,8.0,0.0,0.0
60162,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
60563,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
60657,0.0,0.0,37.0,35.0,16.0,15.0,0.0,6.0,0.0
60030,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
60611,0.0,0.0,10.0,13.0,6.0,13.0,0.0,7.0,0.0
60623,0.0,0.0,24.0,31.0,26.0,41.0,15.0,18.0,6.0
60471,0.0,0.0,0.0,8.0,14.0,9.0,13.0,0.0,0.0
60417,0.0,0.0,0.0,0.0,7.0,0.0,7.0,6.0,0.0
60517,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0
60176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60617,0.0,0.0,11.0,24.0,39.0,38.0,46.0,29.0,22.0
60076,0.0,0.0,13.0,10.0,12.0,21.0,21.0,10.0,7.0
60202,0.0,0.0,7.0,9.0,10.0,12.0,14.0,0.0,0.0
60010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60133,0.0,0.0,0.0,6.0,6.0,11.0,9.0,0.0,0.0
61241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60016,0.0,0.0,9.0,13.0,15.0,20.0,13.0,7.0,8.0
60457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60302,0.0,0.0,0.0,7.0,9.0,12.0,0.0,0.0,0.0
60053,0.0,0.0,0.0,8.0,10.0,13.0,6.0,0.0,0.0
60551,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
62223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60637,0.0,0.0,15.0,24.0,27.0,19.0,13.0,15.0,9.0
60643,0.0,0.0,8.0,23.0,26.0,40.0,38.0,27.0,14.0
62901,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
60102,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0
60445,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0
60543,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0
60002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60403,0.0,0.0,0.0,11.0,7.0,7.0,7.0,0.0,0.0
60712,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0
60048,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0
60449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60426,0.0,0.0,0.0,13.0,9.0,11.0,13.0,11.0,0.0
60827,0.0,0.0,7.0,16.0,25.0,13.0,12.0,0.0,0.0
60163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60804,0.0,0.0,21.0,21.0,34.0,20.0,13.0,0.0,0.0
60140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60432,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
60077,0.0,0.0,9.0,14.0,21.0,13.0,13.0,6.0,0.0
60409,0.0,0.0,0.0,18.0,23.0,16.0,17.0,10.0,0.0
60171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60612,0.0,0.0,26.0,31.0,25.0,31.0,27.0,11.0,0.0
60526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60031,0.0,0.0,8.0,6.0,0.0,16.0,0.0,0.0,0.0
60466,0.0,0.0,6.0,16.0,24.0,32.0,26.0,0.0,0.0
60472,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
60618,0.0,6.0,27.0,22.0,28.0,26.0,12.0,9.0,0.0
60025,0.0,0.0,16.0,0.0,19.0,34.0,13.0,0.0,6.0
60652,0.0,0.0,7.0,24.0,24.0,27.0,20.0,8.0,0.0
60154,0.0,0.0,0.0,0.0,8.0,7.0,11.0,14.0,8.0
60558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60440,0.0,0.0,6.0,13.0,22.0,21.0,10.0,0.0,0.0
60203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60632,0.0,0.0,19.0,16.0,22.0,17.0,9.0,0.0,0.0
60134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60148,0.0,0.0,7.0,8.0,0.0,11.0,7.0,6.0,0.0
60160,0.0,0.0,0.0,8.0,7.0,11.0,7.0,0.0,0.0
60503,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
60005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60638,0.0,0.0,12.0,18.0,25.0,25.0,0.0,8.0,6.0
60446,0.0,0.0,6.0,8.0,11.0,10.0,0.0,0.0,0.0
60901,0.0,0.0,12.0,13.0,17.0,22.0,10.0,7.0,9.0
60546,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
60452,0.0,0.0,0.0,6.0,0.0,6.0,8.0,0.0,0.0
60120,0.0,0.0,6.0,0.0,10.0,8.0,6.0,0.0,0.0
60523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60475,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
60045,0.0,0.0,0.0,0.0,9.0,19.0,9.0,0.0,0.0
60068,0.0,0.0,0.0,12.0,11.0,7.0,12.0,0.0,12.0
60406,0.0,0.0,0.0,11.0,0.0,10.0,7.0,0.0,6.0
60091,0.0,0.0,11.0,0.0,14.0,11.0,8.0,8.0,0.0
62298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60429,0.0,0.0,0.0,6.0,6.0,14.0,19.0,7.0,8.0
60137,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
60515,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
60621,0.0,0.0,7.0,14.0,10.0,21.0,19.0,6.0,0.0
60609,0.0,0.0,11.0,13.0,22.0,21.0,12.0,12.0,7.0
62035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60661,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
60074,0.0,0.0,6.0,6.0,0.0,0.0,7.0,0.0,0.0
60423,0.0,0.0,0.0,0.0,7.0,8.0,9.0,8.0,6.0
62095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60615,0.0,0.0,10.0,12.0,21.0,27.0,21.0,6.0,10.0
60469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60463,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0
60131,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0
60649,0.0,0.0,10.0,16.0,25.0,23.0,24.0,32.0,16.0
60655,0.0,0.0,8.0,12.0,10.0,15.0,10.0,0.0,6.0
60606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60506,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,11.0
60629,0.0,0.0,19.0,21.0,30.0,40.0,28.0,16.0,8.0
60014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60586,0.0,0.0,0.0,7.0,17.0,14.0,7.0,0.0,0.0
62221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60443,0.0,0.0,10.0,17.0,21.0,11.0,18.0,15.0,6.0
61282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60641,0.0,0.0,9.0,19.0,18.0,9.0,14.0,0.0,0.0
60051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
